feature,label_horizon,metric,value,samples
EMA50,future_return_24,q_bottom_pf,28.871200,281
EMA50,future_return_24,q_bottom_wr,0.811388,281
EMA50,future_return_24,rolling_mean_50,-0.341262,0
EMA50,future_return_24,rolling_std_50,0.383810,0
EMA50,future_return_24,rolling_stability_50,0.806417,0
EMA50,future_return_24,rolling_mean_100,-0.392267,0
EMA50,future_return_24,rolling_std_100,0.302029,0
EMA50,future_return_24,rolling_stability_100,0.918360,0
EMA50,future_return_24,rolling_mean_200,-0.383121,0
EMA50,future_return_24,rolling_std_200,0.225122,0
EMA50,future_return_24,rolling_stability_200,0.952228,0
EMA50,future_return_24,regime_trending_low_vol,-0.359756,574
EMA50,future_return_24,regime_trending_high_vol,-0.127298,268
EMA50,future_return_24,regime_ranging_high_vol,-0.263528,574
EMA50,future_return_24,regime_ranging_low_vol,0.058012,1389
EMA50,,decay_peak,0.243990,0
EMA50,,decay_avg,0.158495,0
EMA50,,decay_rate,-0.085403,0
EMA50,,decay_persistence,0.073184,0
EMA200,future_return_4,pearson,-0.092529,2805
EMA200,future_return_4,spearman,-0.033467,2805
EMA200,future_return_4,q_top_pf,0.569059,280
EMA200,future_return_4,q_top_wr,0.414286,280
EMA200,future_return_4,q_bottom_pf,3.673015,281
EMA200,future_return_4,q_bottom_wr,0.565836,281
EMA200,future_return_4,rolling_mean_50,-0.145562,0
EMA200,future_return_4,rolling_std_50,0.236657,0
EMA200,future_return_4,rolling_stability_50,0.757219,0
EMA200,future_return_4,rolling_mean_100,-0.150361,0
EMA200,future_return_4,rolling_std_100,0.190704,0
EMA200,future_return_4,rolling_stability_100,0.828520,0
EMA200,future_return_4,rolling_mean_200,-0.163726,0
EMA200,future_return_4,rolling_std_200,0.157353,0
EMA200,future_return_4,rolling_stability_200,0.877718,0
EMA200,future_return_4,regime_trending_low_vol,-0.127423,574
EMA200,future_return_4,regime_trending_high_vol,-0.070022,268
EMA200,future_return_4,regime_ranging_high_vol,-0.139551,574
EMA200,future_return_4,regime_ranging_low_vol,0.075499,1389
EMA200,future_return_12,pearson,-0.138818,2805
EMA200,future_return_12,spearman,-0.090072,2805
EMA200,future_return_12,q_top_pf,0.392067,280
EMA200,future_return_12,q_top_wr,0.485714,280
EMA200,future_return_12,q_bottom_pf,9.360147,281
EMA200,future_return_12,q_bottom_wr,0.633452,281
EMA200,future_return_12,rolling_mean_50,-0.212206,0
EMA200,future_return_12,rolling_std_50,0.351892,0
EMA200,future_return_12,rolling_stability_50,0.722282,0
EMA200,future_return_12,rolling_mean_100,-0.232709,0
EMA200,future_return_12,rolling_std_100,0.290841,0
EMA200,future_return_12,rolling_stability_100,0.807487,0
EMA200,future_return_12,rolling_mean_200,-0.259848,0
EMA200,future_return_12,rolling_std_200,0.214173,0
EMA200,future_return_12,rolling_stability_200,0.889840,0
EMA200,future_return_12,regime_trending_low_vol,-0.202846,574
EMA200,future_return_12,regime_trending_high_vol,-0.112907,268
EMA200,future_return_12,regime_ranging_high_vol,-0.218614,574
EMA200,future_return_12,regime_ranging_low_vol,0.140203,1389
EMA200,future_return_24,pearson,-0.168877,2805
EMA200,future_return_24,spearman,-0.155253,2805
EMA200,future_return_24,q_top_pf,0.285984,280
EMA200,future_return_24,q_top_wr,0.507143,280
EMA200,future_return_24,q_bottom_pf,76.054717,281
EMA200,future_return_24,q_bottom_wr,0.793594,281
EMA200,future_return_24,rolling_mean_50,-0.236274,0
EMA200,future_return_24,rolling_std_50,0.438953,0
EMA200,future_return_24,rolling_stability_50,0.684492,0
EMA200,future_return_24,rolling_mean_100,-0.278418,0
EMA200,future_return_24,rolling_std_100,0.369252,0
EMA200,future_return_24,rolling_stability_100,0.778253,0
EMA200,future_return_24,rolling_mean_200,-0.320205,0
EMA200,future_return_24,rolling_std_200,0.251988,0
EMA200,future_return_24,rolling_stability_200,0.890553,0
EMA200,future_return_24,regime_trending_low_vol,-0.274975,574
EMA200,future_return_24,regime_trending_high_vol,-0.093684,268
EMA200,future_return_24,regime_ranging_high_vol,-0.258194,574
EMA200,future_return_24,regime_ranging_low_vol,0.182780,1389
EMA200,,decay_peak,0.162065,0
EMA200,,decay_avg,0.113169,0
EMA200,,decay_rate,-0.049533,0
EMA200,,decay_persistence,0.062998,0
RSI14,future_return_4,pearson,-0.007957,2805
RSI14,future_return_4,spearman,-0.037355,2805
RSI14,future_return_4,q_top_pf,1.595924,280
RSI14,future_return_4,q_top_wr,0.507143,280
RSI14,future_return_4,q_bottom_pf,1.376007,281
RSI14,future_return_4,q_bottom_wr,0.476868,281
RSI14,future_return_4,rolling_mean_50,-0.368801,0
RSI14,future_return_4,rolling_std_50,0.320572,0
RSI14,future_return_4,rolling_stability_50,0.882353,0
RSI14,future_return_4,rolling_mean_100,-0.247289,0
RSI14,future_return_4,rolling_std_100,0.300075,0
RSI14,future_return_4,rolling_stability_100,0.793226,0
RSI14,future_return_4,rolling_mean_200,-0.170864,0
RSI14,future_return_4,rolling_std_200,0.279853,0
RSI14,future_return_4,rolling_stability_200,0.669875,0
RSI14,future_return_4,regime_trending_low_vol,-0.145447,574
RSI14,future_return_4,regime_trending_high_vol,0.093506,268
RSI14,future_return_4,regime_ranging_high_vol,0.079502,574
RSI14,future_return_4,regime_ranging_low_vol,0.169622,1389
RSI14,future_return_12,pearson,-0.089375,2805
RSI14,future_return_12,spearman,-0.033794,2805
RSI14,future_return_12,q_top_pf,1.276309,280
RSI14,future_return_12,q_top_wr,0.453571,280
RSI14,future_return_12,q_bottom_pf,2.087768,281
RSI14,future_return_12,q_bottom_wr,0.437722,281
RSI14,future_return_12,rolling_mean_50,-0.433686,0
RSI14,future_return_12,rolling_std_50,0.336467,0
RSI14,future_return_12,rolling_stability_50,0.873797,0
RSI14,future_return_12,rolling_mean_100,-0.295324,0
RSI14,future_return_12,rolling_std_100,0.298888,0
RSI14,future_return_12,rolling_stability_100,0.833155,0
RSI14,future_return_12,rolling_mean_200,-0.207053,0
RSI14,future_return_12,rolling_std_200,0.261879,0
RSI14,future_return_12,rolling_stability_200,0.744029,0
RSI14,future_return_12,regime_trending_low_vol,-0.318878,574
RSI14,future_return_12,regime_trending_high_vol,0.033818,268
RSI14,future_return_12,regime_ranging_high_vol,0.148095,574
RSI14,future_return_12,regime_ranging_low_vol,0.114692,1389
RSI14,future_return_24,pearson,-0.186684,2805
RSI14,future_return_24,spearman,-0.031086,2805
RSI14,future_return_24,q_top_pf,0.773084,280
RSI14,future_return_24,q_top_wr,0.496429,280
RSI14,future_return_24,q_bottom_pf,2.806461,281
RSI14,future_return_24,q_bottom_wr,0.469751,281
RSI14,future_return_24,rolling_mean_50,-0.470574,0
RSI14,future_return_24,rolling_std_50,0.357695,0
RSI14,future_return_24,rolling_stability_50,0.887344,0
RSI14,future_return_24,rolling_mean_100,-0.360300,0
RSI14,future_return_24,rolling_std_100,0.289418,0
RSI14,future_return_24,rolling_stability_100,0.880927,0
RSI14,future_return_24,rolling_mean_200,-0.265436,0
RSI14,future_return_24,rolling_std_200,0.257363,0
RSI14,future_return_24,rolling_stability_200,0.840998,0
RSI14,future_return_24,regime_trending_low_vol,-0.434774,574
RSI14,future_return_24,regime_trending_high_vol,-0.129540,268
RSI14,future_return_24,regime_ranging_high_vol,0.116617,574
RSI14,future_return_24,regime_ranging_low_vol,-0.017566,1389
RSI14,,decay_peak,0.108885,0
RSI14,,decay_avg,0.064375,0
RSI14,,decay_rate,-0.043114,0
RSI14,,decay_persistence,0.022656,0
ATR14,future_return_4,pearson,-0.007410,2805
ATR14,future_return_4,spearman,0.033564,2805
ATR14,future_return_4,q_top_pf,1.144061,280
ATR14,future_return_4,q_top_wr,0.578571,280
ATR14,future_return_4,q_bottom_pf,0.524494,281
ATR14,future_return_4,q_bottom_wr,0.423488,281
ATR14,future_return_4,rolling_mean_50,-0.066259,0
ATR14,future_return_4,rolling_std_50,0.245321,0
ATR14,future_return_4,rolling_stability_50,0.587166,0
ATR14,future_return_4,rolling_mean_100,-0.081676,0
ATR14,future_return_4,rolling_std_100,0.196891,0
